Row #,Species,Count,Location,S/P,Date,LocID,SubID
130,Scrub Nightjar - Nyctidromus anthonyi,3,ACP Chaparrí,PE-LAM,08 May 2016,L767930,S29507563
131,Swallow-tailed Nightjar - Uropsalis segmentata,3,"PE-Amazonas Region - -6.7243x-77.8412 - Jun 15, 2013, 5:48 AM",PE-AMA,15 Jun 2013,L2357215,S14473646
132,Lyre-tailed Nightjar - Uropsalis lyra,1,Manú Cloud Forest Lodge (1500-1700m),PE-CUS,23 Aug 2012,L1004831,S11448745
133,Little Nightjar - Setopagis parvula,1,Ramal 2,PE-MDD,17 Aug 2018,L7884153,S48230749
134,White-tailed Nightjar - Hydropsalis cayennensis,2,Riohacha--Camarones [deserts and xeric shrublands],CO-LAG,19 Jan 2015,L2568025,S21499606
135,Ladder-tailed Nightjar - Hydropsalis climacocerca,1,Cocha Machuhuasi,PE-MDD,06 May 2012,L9403218,S10700796
136,Scissor-tailed Nightjar - Hydropsalis torquata,1,Los Amigos Biological Station (CICRA),PE-MDD,01 Jul 2016,L492606,S30503186
137,Ocellated Poorwill - Nyctiphrynus ocellatus,1,Erika Lodge,PE-MDD,13 Jul 2012,L1532805,S11189727
138,Rufous Nightjar - Antrostomus rufus,2,Tigrera--La Entrada de las Cabañas,CO-MAG,26 Feb 2014,L3283551,S17219747
139,Silky-tailed Nightjar - Antrostomus sericocaudatus,1,Manú Wildlife Center (Valqui A5.1),PE-MDD,03 May 2014,L599450,S18252452
140,Great Potoo - Nyctibius grandis,1,Carretera a Manú--Pilcopata a Atalaya (500-600m),PE-CUS,05 Oct 2012,L1004837,S11792315
141,Long-tailed Potoo - Nyctibius aethereus,1,Erika Lodge,PE-MDD,25 Sep 2011,L1532805,S12282825
142,Common Potoo - Nyctibius griseus,,"Manu--Manu--Laguna Machuwasi ca. 470 m (trails) [flooded evergreen forest, secondary forest]",PE-MDD,31 Jul 2012,L1630891,S11299280
143,Andean Potoo - Nyctibius maculosus,1,Carretera a Manú--Rocotal Inferior (1800-2000m),PE-CUS,01 Aug 2013,L1004829,S14857464
144,Oilbird - Steatornis caripensis,1,RNA Proaves El Dorado--Lodge,CO-MAG,20 Mar 2013,L2141124,S22294074
145,White-chested Swift - Cypseloides lemosi,1,Carretera a San Lorenzo/Rio Chido,PE-AMA,15 Jun 2013,L492945,S14473619
146,White-chinned Swift - Cypseloides cryptus,10,"(-6.0460,-77.0143)",PE-SAM,31 Dec 2017,L6641502,S41482899
147,Chestnut-collared Swift - Streptoprocne rutila,250,Cock-of-the-Rock Lodge & Manu Paradise Lodge,PE-CUS,04 May 2012,L599445,S10700160
148,White-collared Swift - Streptoprocne zonaris,2,Laguna Huaypo,PE-CUS,15 Feb 2012,L892475,S10503464
149,Chimney Swift - Chaetura pelagica,1,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,PE-LIM,03 Dec 2012,L855862,S12215372
150,Chapman's Swift - Chaetura chapmani,2,PN Manú--Rio Manú,PE-MDD,13 Oct 2014,L815603,S21578150
151,Short-tailed Swift - Chaetura brachyura,32,C. N. Santa Rosa de Huacaria (613m),PE-CUS,16 Jun 2012,L1532757,S11037375
152,Gray-rumped Swift - Chaetura cinereiventris,40,Cocha Machuhuasi,PE-MDD,24 Oct 2012,L9403218,S12200922
153,Band-rumped Swift - Chaetura spinicaudus,1,Minca (y alrededores/general area),CO-MAG,02 Feb 2015,L1161669,S21653766
154,Pale-rumped Swift - Chaetura egregia,15,Erika Lodge,PE-MDD,24 Jul 2012,L1532805,S11210242
155,White-tipped Swift - Aeronautes montivagus,35,Santuario Historico Machu Picchu--Machu Picchu Ruinas (Valqui B3.2),PE-CUS,30 Sep 2012,L1004819,S11787534
156,Andean Swift - Aeronautes andecolus,1,Laguna de Huacarpay,PE-CUS,08 Sep 2012,L492963,S11683244
